Video File Name (As per in drive),Lecture No,Week No,Lecture Title (100-character limit to YouTube video titles),Concepts covered (3-4 points),Key words,Time Range to be Deleted (From - To),Time of Splitting the video into two parts if more than 30 mins (From - To),Any Other Remarks (After split),Comment,Final Youtube Links,Professor Name (lecture taken by),Video length (min)
01 - Jan 20 2026.mp4,1,1,,,,,,,,,,
02 - Jan 27 2026.mp4,2,2,,,,,,,,,,
03 - Jan 29 2026.mp4,3,2,,,,,,,,,,
04 - Feb 02 2026.mp4,4,3,,,,,,,,,,
05 - Feb 03 2026.mp4,5,3,,,,,,,,,,
06 - Feb 12 2026.mp4,6,4,,,,,,,,,,
07 - Feb 16 2026.mp4,7,5,,,,,,,,,,
08 - Feb 17 2026.mp4,8,5,,,,,,,,,,
09 - Feb 26 2026.mp4,9,6,,,,,,,,,,
10 - Mar 02 2026.mp4,10,7,,,,,,,,,,
11 - Mar 10 2026.mp4,11,8,,,,,,,,,,
12 - Mar 12 2026.mp4,12,8,,,,,,,,,,
13 - Mar 16 2026.mp4,13,9,,,,,,,,,,
14 - Mar 19 2026.mp4,14,9,,,,,,,,,,
15 - Mar 26 2026.mp4,15,10,,,,,,,,,,
16 - Mar 30 2026.mp4,16,11,,,,,,,,,,
17 - Apr 06 2026.mp4,17,12,,,,,,,,,,
18 - Apr 07 2026.mp4,18,12,,,,,,,,,,
19 - Apr 09 2026.mp4,19,12,,,,,,,,,,
20 - Apr 13 2026.mp4,20,13,,,,,,,,,,
