A — policy_name,B — policy_url,C — policy_year,D — policy_objective,E — policy_target,F — policy_target_text,G — policy_type,H — policy_type_justification,I — policy_integration,J — policy_sectors_list,K — policy_circularity,L — policy_lifecycle_phases_list,M — policy_budget,N — policy_budget_text,O — policy_score [auto],P — instrument_type,Q — instrument_lifecycle_stage,R — instrument_description,S — instrument_in_force,T — instrument_implementation,U — instrument_implementation_text,V — instrument_score [auto],W — comments
Regulamento sobre a Gestão de Resíduos Sólidos Urbanos (Decreto n.º 94/2014),https://faolex.fao.org/docs/pdf/moz148514.pdf,2014,"Establish national rules for the environmentally sound management of urban solid waste, including prevention and reduction of waste generation, segregation (including plastics), selective collection, recycling/valorization, and safe final disposal to protect public health and the environment.",1,"""Os Conselhos Municipais ou vilas não municipalizadas devem encerrar as lixeiras a céu aberto nas suas áreas de jurisdição e garantir a construção de aterros sanitários ou controlados no prazo de três anos após a publicação do presente regulamento."" (Art. 25); Annex I requires plans to include ""Objectivos e metas do Plano durante os cincos anos de vigência do mesmo""; Annex II requires reporting on ""Taxa de cobertura de recolha de resíduos"" and ""Percentagem e tonelagem de resíduos destinados para reciclagem"".",0.75,"Executive regulation (Regulamento) approved by Council of Ministers Decree (Decreto n.º 94/2014), issued under Article 33 of the Environment Law — sub-legislative instrument, not parliamentary legislation.",0.75,"production, consumption, retail, waste management, recycling, municipalities, industry",1,"production, consumption, recycling, disposal, environmental leakage",0.5,"Art. 19: ""As taxas de limpeza urbana são estabelecidas e cobradas pelos Conselhos Municipais ou Governos Distritais...""; Art. 22: ""60% para o FUNAB (Fundo do Ambiente)"" and ""60% dos valores recebidos pelo FUNAB devem ser aplicados em actividades de promoção de boas práticas de gestão de resíduos sólidos urbanos e de melhoria das actividades de monitoria e fiscalização do cumprimento do presente regulamento.""",[auto],0.2,Waste management,"Art. 5: Assigns urban solid waste management competencies to the Ministry of Environment (rule-making, inspections, national registry, monitoring, sanctions) and to Municipal/District Councils (local waste services, by-laws, collection procedures, local registry, penalties).",1,1.0,"Art. 5(1)(h)-(i): ""Penalizar os gestores dos Conselhos Municipais...""; ""Monitorar e fiscalizar o cumprimento das disposições do presente Regulamento."" Art. 5(2)(i): municipal penalty authority.",[auto],Core multi-level governance framework applicable to all waste streams including plastics. Coordination instrument scored 0.20 per coding rules.
Regulamento sobre a Gestão de Resíduos Sólidos Urbanos (Decreto n.º 94/2014),https://faolex.fao.org/docs/pdf/moz148514.pdf,2014,"Establish national rules for the environmentally sound management of urban solid waste, including prevention and reduction of waste generation, segregation (including plastics), selective collection, recycling/valorization, and safe final disposal to protect public health and the environment.",1,"""Os Conselhos Municipais ou vilas não municipalizadas devem encerrar as lixeiras a céu aberto nas suas áreas de jurisdição e garantir a construção de aterros sanitários ou controlados no prazo de três anos após a publicação do presente regulamento."" (Art. 25); Annex I requires plans to include ""Objectivos e metas do Plano durante os cincos anos de vigência do mesmo""; Annex II requires reporting on ""Taxa de cobertura de recolha de resíduos"" and ""Percentagem e tonelagem de resíduos destinados para reciclagem"".",0.75,"Executive regulation (Regulamento) approved by Council of Ministers Decree (Decreto n.º 94/2014), issued under Article 33 of the Environment Law — sub-legislative instrument, not parliamentary legislation.",0.75,"production, consumption, retail, waste management, recycling, municipalities, industry",1,"production, consumption, recycling, disposal, environmental leakage",0.5,"Art. 19: ""As taxas de limpeza urbana são estabelecidas e cobradas pelos Conselhos Municipais ou Governos Distritais...""; Art. 22: ""60% para o FUNAB (Fundo do Ambiente)"" and ""60% dos valores recebidos pelo FUNAB devem ser aplicados em actividades de promoção de boas práticas de gestão de resíduos sólidos urbanos e de melhoria das actividades de monitoria e fiscalização do cumprimento do presente regulamento.""",[auto],0.2,Recycling,"Art. 4(d): Mandates the waste management hierarchy — prevention/reduction, reuse, recycling, other valorization, then disposal — using best available technologies at sustainable cost.",1,0.5,"Art. 4(d): ""a gestão de resíduos sólidos urbanos deve respeitar a seguinte ordem de prioridades...""; Art. 5(1)(i): Ministry monitors compliance; Art. 20(2): violations of Art. 4 are fineable.",[auto],Foundational circular economy principle; not plastic-specific but directly governs plastic waste prioritization.
Regulamento sobre a Gestão de Resíduos Sólidos Urbanos (Decreto n.º 94/2014),https://faolex.fao.org/docs/pdf/moz148514.pdf,2014,"Establish national rules for the environmentally sound management of urban solid waste, including prevention and reduction of waste generation, segregation (including plastics), selective collection, recycling/valorization, and safe final disposal to protect public health and the environment.",1,"""Os Conselhos Municipais ou vilas não municipalizadas devem encerrar as lixeiras a céu aberto nas suas áreas de jurisdição e garantir a construção de aterros sanitários ou controlados no prazo de três anos após a publicação do presente regulamento."" (Art. 25); Annex I requires plans to include ""Objectivos e metas do Plano durante os cincos anos de vigência do mesmo""; Annex II requires reporting on ""Taxa de cobertura de recolha de resíduos"" and ""Percentagem e tonelagem de resíduos destinados para reciclagem"".",0.75,"Executive regulation (Regulamento) approved by Council of Ministers Decree (Decreto n.º 94/2014), issued under Article 33 of the Environment Law — sub-legislative instrument, not parliamentary legislation.",0.75,"production, consumption, retail, waste management, recycling, municipalities, industry",1,"production, consumption, recycling, disposal, environmental leakage",0.5,"Art. 19: ""As taxas de limpeza urbana são estabelecidas e cobradas pelos Conselhos Municipais ou Governos Distritais...""; Art. 22: ""60% para o FUNAB (Fundo do Ambiente)"" and ""60% dos valores recebidos pelo FUNAB devem ser aplicados em actividades de promoção de boas práticas de gestão de resíduos sólidos urbanos e de melhoria das actividades de monitoria e fiscalização do cumprimento do presente regulamento.""",[auto],0.2,Production,Art. 4(c): Establishes prevention and reduction of urban solid waste generation and harmful character as a priority management objective.,1,0.5,"Art. 4(c): ""constitui objectivo prioritário... evitar e reduzir a sua produção""; Art. 11(a): producers must ""Minimizar a produção de resíduos sólidos urbanos""; Art. 20(2): fines for non-compliance with Art. 4.",[auto],Linked to Art. 11(a) producer minimization obligation.
Regulamento sobre a Gestão de Resíduos Sólidos Urbanos (Decreto n.º 94/2014),https://faolex.fao.org/docs/pdf/moz148514.pdf,2014,"Establish national rules for the environmentally sound management of urban solid waste, including prevention and reduction of waste generation, segregation (including plastics), selective collection, recycling/valorization, and safe final disposal to protect public health and the environment.",1,"""Os Conselhos Municipais ou vilas não municipalizadas devem encerrar as lixeiras a céu aberto nas suas áreas de jurisdição e garantir a construção de aterros sanitários ou controlados no prazo de três anos após a publicação do presente regulamento."" (Art. 25); Annex I requires plans to include ""Objectivos e metas do Plano durante os cincos anos de vigência do mesmo""; Annex II requires reporting on ""Taxa de cobertura de recolha de resíduos"" and ""Percentagem e tonelagem de resíduos destinados para reciclagem"".",0.75,"Executive regulation (Regulamento) approved by Council of Ministers Decree (Decreto n.º 94/2014), issued under Article 33 of the Environment Law — sub-legislative instrument, not parliamentary legislation.",0.75,"production, consumption, retail, waste management, recycling, municipalities, industry",1,"production, consumption, recycling, disposal, environmental leakage",0.5,"Art. 19: ""As taxas de limpeza urbana são estabelecidas e cobradas pelos Conselhos Municipais ou Governos Distritais...""; Art. 22: ""60% para o FUNAB (Fundo do Ambiente)"" and ""60% dos valores recebidos pelo FUNAB devem ser aplicados em actividades de promoção de boas práticas de gestão de resíduos sólidos urbanos e de melhoria das actividades de monitoria e fiscalização do cumprimento do presente regulamento.""",[auto],1.0,Environmental leakage,"Art. 6(a)-(b): Municipal/District Councils must prevent waste dumping in beaches, sea, waterways, and other hazardous locations; prohibit open burning and disposal in unlicensed facilities.",1,1.0,"Art. 6: ""Garantir que os resíduos sólidos urbanos não sejam lançados em praias, no mar...""; ""Assegurar que os resíduos sólidos não sejam depositados ou queimados a céu aberto...""; Art. 20(2): fines of 240,000 MT; Art. 6(d): annual waste registry.",[auto],Directly addresses marine/coastal plastic leakage pathways.
Regulamento sobre a Gestão de Resíduos Sólidos Urbanos (Decreto n.º 94/2014),https://faolex.fao.org/docs/pdf/moz148514.pdf,2014,"Establish national rules for the environmentally sound management of urban solid waste, including prevention and reduction of waste generation, segregation (including plastics), selective collection, recycling/valorization, and safe final disposal to protect public health and the environment.",1,"""Os Conselhos Municipais ou vilas não municipalizadas devem encerrar as lixeiras a céu aberto nas suas áreas de jurisdição e garantir a construção de aterros sanitários ou controlados no prazo de três anos após a publicação do presente regulamento."" (Art. 25); Annex I requires plans to include ""Objectivos e metas do Plano durante os cincos anos de vigência do mesmo""; Annex II requires reporting on ""Taxa de cobertura de recolha de resíduos"" and ""Percentagem e tonelagem de resíduos destinados para reciclagem"".",0.75,"Executive regulation (Regulamento) approved by Council of Ministers Decree (Decreto n.º 94/2014), issued under Article 33 of the Environment Law — sub-legislative instrument, not parliamentary legislation.",0.75,"production, consumption, retail, waste management, recycling, municipalities, industry",1,"production, consumption, recycling, disposal, environmental leakage",0.5,"Art. 19: ""As taxas de limpeza urbana são estabelecidas e cobradas pelos Conselhos Municipais ou Governos Distritais...""; Art. 22: ""60% para o FUNAB (Fundo do Ambiente)"" and ""60% dos valores recebidos pelo FUNAB devem ser aplicados em actividades de promoção de boas práticas de gestão de resíduos sólidos urbanos e de melhoria das actividades de monitoria e fiscalização do cumprimento do presente regulamento.""",[auto],0.2,Waste management,Art. 8: All public and private entities managing urban solid waste must prepare and implement 5-year Integrated Urban Solid Waste Management Plans based on the waste hierarchy (Annex I).,1,0.75,"Art. 8(1): ""devem elaborar e implementar um plano de gestão integrada""; Art. 8(2): plans approved by Municipal Assemblies/District Governments; Art. 10(1): annual reporting; Art. 20(2): general fines.",[auto],Annex I requires plan objectives/targets and awareness campaigns but no national plastic-specific targets.
Regulamento sobre a Gestão de Resíduos Sólidos Urbanos (Decreto n.º 94/2014),https://faolex.fao.org/docs/pdf/moz148514.pdf,2014,"Establish national rules for the environmentally sound management of urban solid waste, including prevention and reduction of waste generation, segregation (including plastics), selective collection, recycling/valorization, and safe final disposal to protect public health and the environment.",1,"""Os Conselhos Municipais ou vilas não municipalizadas devem encerrar as lixeiras a céu aberto nas suas áreas de jurisdição e garantir a construção de aterros sanitários ou controlados no prazo de três anos após a publicação do presente regulamento."" (Art. 25); Annex I requires plans to include ""Objectivos e metas do Plano durante os cincos anos de vigência do mesmo""; Annex II requires reporting on ""Taxa de cobertura de recolha de resíduos"" and ""Percentagem e tonelagem de resíduos destinados para reciclagem"".",0.75,"Executive regulation (Regulamento) approved by Council of Ministers Decree (Decreto n.º 94/2014), issued under Article 33 of the Environment Law — sub-legislative instrument, not parliamentary legislation.",0.75,"production, consumption, retail, waste management, recycling, municipalities, industry",1,"production, consumption, recycling, disposal, environmental leakage",0.5,"Art. 19: ""As taxas de limpeza urbana são estabelecidas e cobradas pelos Conselhos Municipais ou Governos Distritais...""; Art. 22: ""60% para o FUNAB (Fundo do Ambiente)"" and ""60% dos valores recebidos pelo FUNAB devem ser aplicados em actividades de promoção de boas práticas de gestão de resíduos sólidos urbanos e de melhoria das actividades de monitoria e fiscalização do cumprimento do presente regulamento.""",[auto],1.0,End of life,Art. 9: Treatment and final disposal facilities for urban solid waste require prior environmental licensing under the Environmental Impact Assessment Regulation.,1,0.75,"Art. 9(1): ""estão sujeitas a prévio licenciamento ambiental""; licensing process under EIA Regulation; Art. 6(b): unlicensed disposal prohibited.",[auto],Applies to landfills and treatment plants receiving plastic fractions.
Regulamento sobre a Gestão de Resíduos Sólidos Urbanos (Decreto n.º 94/2014),https://faolex.fao.org/docs/pdf/moz148514.pdf,2014,"Establish national rules for the environmentally sound management of urban solid waste, including prevention and reduction of waste generation, segregation (including plastics), selective collection, recycling/valorization, and safe final disposal to protect public health and the environment.",1,"""Os Conselhos Municipais ou vilas não municipalizadas devem encerrar as lixeiras a céu aberto nas suas áreas de jurisdição e garantir a construção de aterros sanitários ou controlados no prazo de três anos após a publicação do presente regulamento."" (Art. 25); Annex I requires plans to include ""Objectivos e metas do Plano durante os cincos anos de vigência do mesmo""; Annex II requires reporting on ""Taxa de cobertura de recolha de resíduos"" and ""Percentagem e tonelagem de resíduos destinados para reciclagem"".",0.75,"Executive regulation (Regulamento) approved by Council of Ministers Decree (Decreto n.º 94/2014), issued under Article 33 of the Environment Law — sub-legislative instrument, not parliamentary legislation.",0.75,"production, consumption, retail, waste management, recycling, municipalities, industry",1,"production, consumption, recycling, disposal, environmental leakage",0.5,"Art. 19: ""As taxas de limpeza urbana são estabelecidas e cobradas pelos Conselhos Municipais ou Governos Distritais...""; Art. 22: ""60% para o FUNAB (Fundo do Ambiente)"" and ""60% dos valores recebidos pelo FUNAB devem ser aplicados em actividades de promoção de boas práticas de gestão de resíduos sólidos urbanos e de melhoria das actividades de monitoria e fiscalização do cumprimento do presente regulamento.""",[auto],0.2,Waste management,Art. 10: Municipalities submit annual waste management registers to the Ministry; maintain entity registries; mandatory 24-hour notification of accidental waste spills.,1,0.75,"Art. 10(1): annual register ""até ao final do primeiro trimestre de cada ano""; Art. 10(3)-(4): 24-hour spill reporting; Art. 5(1)(d): information access; Annex II includes recycling percentages/tonnage.",[auto],Annex II explicitly requires data on selective collection and recycling tonnage.
Regulamento sobre a Gestão de Resíduos Sólidos Urbanos (Decreto n.º 94/2014),https://faolex.fao.org/docs/pdf/moz148514.pdf,2014,"Establish national rules for the environmentally sound management of urban solid waste, including prevention and reduction of waste generation, segregation (including plastics), selective collection, recycling/valorization, and safe final disposal to protect public health and the environment.",1,"""Os Conselhos Municipais ou vilas não municipalizadas devem encerrar as lixeiras a céu aberto nas suas áreas de jurisdição e garantir a construção de aterros sanitários ou controlados no prazo de três anos após a publicação do presente regulamento."" (Art. 25); Annex I requires plans to include ""Objectivos e metas do Plano durante os cincos anos de vigência do mesmo""; Annex II requires reporting on ""Taxa de cobertura de recolha de resíduos"" and ""Percentagem e tonelagem de resíduos destinados para reciclagem"".",0.75,"Executive regulation (Regulamento) approved by Council of Ministers Decree (Decreto n.º 94/2014), issued under Article 33 of the Environment Law — sub-legislative instrument, not parliamentary legislation.",0.75,"production, consumption, retail, waste management, recycling, municipalities, industry",1,"production, consumption, recycling, disposal, environmental leakage",0.5,"Art. 19: ""As taxas de limpeza urbana são estabelecidas e cobradas pelos Conselhos Municipais ou Governos Distritais...""; Art. 22: ""60% para o FUNAB (Fundo do Ambiente)"" and ""60% dos valores recebidos pelo FUNAB devem ser aplicados em actividades de promoção de boas práticas de gestão de resíduos sólidos urbanos e de melhoria das actividades de monitoria e fiscalização do cumprimento do presente regulamento.""",[auto],1.0,Consumption,"Art. 11: Binding obligations on producers, transporters and operators to minimize waste, segregate/condition waste per Art. 14, treat waste before final disposal, ensure safe transport without dispersal, and maintain annual waste records.",1,1.0,"Art. 11: ""São obrigações dos produtores, transportadores e operadores...""; Art. 11(c): segregation per Art. 14 (includes plastic); Art. 20(2): fines of 240,000 MT; Art. 11(h): annual records.",[auto],Closest analogue to producer responsibility; applies to all waste categories including plastics.
Regulamento sobre a Gestão de Resíduos Sólidos Urbanos (Decreto n.º 94/2014),https://faolex.fao.org/docs/pdf/moz148514.pdf,2014,"Establish national rules for the environmentally sound management of urban solid waste, including prevention and reduction of waste generation, segregation (including plastics), selective collection, recycling/valorization, and safe final disposal to protect public health and the environment.",1,"""Os Conselhos Municipais ou vilas não municipalizadas devem encerrar as lixeiras a céu aberto nas suas áreas de jurisdição e garantir a construção de aterros sanitários ou controlados no prazo de três anos após a publicação do presente regulamento."" (Art. 25); Annex I requires plans to include ""Objectivos e metas do Plano durante os cincos anos de vigência do mesmo""; Annex II requires reporting on ""Taxa de cobertura de recolha de resíduos"" and ""Percentagem e tonelagem de resíduos destinados para reciclagem"".",0.75,"Executive regulation (Regulamento) approved by Council of Ministers Decree (Decreto n.º 94/2014), issued under Article 33 of the Environment Law — sub-legislative instrument, not parliamentary legislation.",0.75,"production, consumption, retail, waste management, recycling, municipalities, industry",1,"production, consumption, recycling, disposal, environmental leakage",0.5,"Art. 19: ""As taxas de limpeza urbana são estabelecidas e cobradas pelos Conselhos Municipais ou Governos Distritais...""; Art. 22: ""60% para o FUNAB (Fundo do Ambiente)"" and ""60% dos valores recebidos pelo FUNAB devem ser aplicados em actividades de promoção de boas práticas de gestão de resíduos sólidos urbanos e de melhoria das actividades de monitoria e fiscalização do cumprimento do presente regulamento.""",[auto],0.2,Waste management,"Art. 12: Municipal/District Councils establish collection routes, frequency and schedules; transport must use appropriate vehicles to minimize environmental and public health risks.",1,0.75,"Art. 12(1): methods ""serão estabelecidos pelos Conselhos Municipais ou Governos Distritais""; Art. 12(3): ""O transporte de resíduos deve ser feito em veículos apropriados""; Art. 11(f): no dispersal along transport routes.",[auto],Municipal implementation discretion on collection systems.
Regulamento sobre a Gestão de Resíduos Sólidos Urbanos (Decreto n.º 94/2014),https://faolex.fao.org/docs/pdf/moz148514.pdf,2014,"Establish national rules for the environmentally sound management of urban solid waste, including prevention and reduction of waste generation, segregation (including plastics), selective collection, recycling/valorization, and safe final disposal to protect public health and the environment.",1,"""Os Conselhos Municipais ou vilas não municipalizadas devem encerrar as lixeiras a céu aberto nas suas áreas de jurisdição e garantir a construção de aterros sanitários ou controlados no prazo de três anos após a publicação do presente regulamento."" (Art. 25); Annex I requires plans to include ""Objectivos e metas do Plano durante os cincos anos de vigência do mesmo""; Annex II requires reporting on ""Taxa de cobertura de recolha de resíduos"" and ""Percentagem e tonelagem de resíduos destinados para reciclagem"".",0.75,"Executive regulation (Regulamento) approved by Council of Ministers Decree (Decreto n.º 94/2014), issued under Article 33 of the Environment Law — sub-legislative instrument, not parliamentary legislation.",0.75,"production, consumption, retail, waste management, recycling, municipalities, industry",1,"production, consumption, recycling, disposal, environmental leakage",0.5,"Art. 19: ""As taxas de limpeza urbana são estabelecidas e cobradas pelos Conselhos Municipais ou Governos Distritais...""; Art. 22: ""60% para o FUNAB (Fundo do Ambiente)"" and ""60% dos valores recebidos pelo FUNAB devem ser aplicados em actividades de promoção de boas práticas de gestão de resíduos sólidos urbanos e de melhoria das actividades de monitoria e fiscalização do cumprimento do presente regulamento.""",[auto],1.0,Recycling,"Art. 13: Selective collection systems must be approved by municipalities, separate waste per Art. 14 categories, promote cooperatives of recyclable material collectors, and be implemented by municipalities, private sector, or cooperatives.",1,0.75,"Art. 13(1): ""O sistema de recolha selectiva deve ser aprovado pelos Conselhos Municipais...""; Art. 13(2): promote cooperatives; Annex II: selective collection reporting; Art. 20(2): fines.",[auto],Primary instrument enabling plastic recycling at source; plastic is an explicit Art. 14 category.
