A — policy_name,B — policy_url,C — policy_year,D — policy_objective,E — policy_target,F — policy_target_text,G — policy_type,H — policy_type_justification,I — policy_integration,J — policy_sectors_list,K — policy_circularity,L — policy_lifecycle_phases_list,M — policy_budget,N — policy_budget_text,O — policy_score [auto],P — instrument_type,Q — instrument_lifecycle_stage,R — instrument_description,S — instrument_in_force,T — instrument_implementation,U — instrument_implementation_text,V — instrument_score [auto],W — comments
NDC 3.0 Provisória de Moçambique – Período: 2026 - 2035 (Mozambique's Provisional NDC 3.0),https://unfccc.int/sites/default/files/2025-11/Mozambique%20ProvNDC_ENG.pdf,2025,"Communicate Mozambique's updated Paris Agreement climate commitment for 2026–2035, including a conditional economy-wide GHG mitigation target, sectoral mitigation coverage (including waste/landfill), large-scale adaptation priorities, and frameworks linking international climate finance to national green and circular-economy initiatives.",1,"""Target of reducing emissions by between 15% and 25% of baseline (BUR2 2020)"" (Annex 1, para. 1(d)); ""Type of target: Emissions reduction target below a BAU scenario between 15 to 25% of baseline (BUR2 2020)""; implementation period ""January 1, 2026 to December 31, 2035"" (Annex 1, para. 2(a)). Target noted as under final technical review.",0.5,"International treaty commitment (Paris Agreement NDC) and supreme national climate strategic policy — not domestic legislation or executive regulation. Classified 0.50 because the document incorporates quantifiable mitigation targets (15–25% below 2020 BAU by 2035), sectoral coverage, and planned operational/investment instruments.",1,"waste management, recycling, municipalities, industry, agriculture, fisheries, water, energy, tourism, retail, packaging",0.75,"production, consumption, recycling, disposal, environmental leakage",0.5,"NDC implementation is ""highly conditional"" on international climate finance (Section 5, Climate finance); aligned with National Climate Finance Strategy 2025-2034 (ENFC); planned NDC 3.0 Investment Plan and operational plan to follow full NDC communication; ValoRE and other programmes already receiving/drawing on climate and development finance.",[auto],0.2,Waste management,"Annex 1 paras. 1(b), 1(d), 3(b): Conditional economy-wide mitigation pledge to reduce national GHG emissions by 15–25% below 2020 BAU by 2035, explicitly covering the Waste sector (IPCC sub-categories 4.A.2, 4.C.1, 4.D.1) alongside Energy and AFOLU.",1,0.75,"Annex 1, 1(d): quantified ""Target of reducing emissions by between 15% and 25% of baseline""; DINAMC-led process (Section 2); monitoring via BTR/ETF and developing MRV system (Annex 1, 4(a), 5(b)); conditional on international support (Annex 1, 6(d)).",[auto],Provisional NDC submitted to UNFCCC Nov 2025; final target subject to modelling review. Waste-sector landfill methane reductions are part of covered IPCC categories. No plastic-specific sub-target.
NDC 3.0 Provisória de Moçambique – Período: 2026 - 2035 (Mozambique's Provisional NDC 3.0),https://unfccc.int/sites/default/files/2025-11/Mozambique%20ProvNDC_ENG.pdf,2025,"Communicate Mozambique's updated Paris Agreement climate commitment for 2026–2035, including a conditional economy-wide GHG mitigation target, sectoral mitigation coverage (including waste/landfill), large-scale adaptation priorities, and frameworks linking international climate finance to national green and circular-economy initiatives.",1,"""Target of reducing emissions by between 15% and 25% of baseline (BUR2 2020)"" (Annex 1, para. 1(d)); ""Type of target: Emissions reduction target below a BAU scenario between 15 to 25% of baseline (BUR2 2020)""; implementation period ""January 1, 2026 to December 31, 2035"" (Annex 1, para. 2(a)). Target noted as under final technical review.",0.5,"International treaty commitment (Paris Agreement NDC) and supreme national climate strategic policy — not domestic legislation or executive regulation. Classified 0.50 because the document incorporates quantifiable mitigation targets (15–25% below 2020 BAU by 2035), sectoral coverage, and planned operational/investment instruments.",1,"waste management, recycling, municipalities, industry, agriculture, fisheries, water, energy, tourism, retail, packaging",0.75,"production, consumption, recycling, disposal, environmental leakage",0.5,"NDC implementation is ""highly conditional"" on international climate finance (Section 5, Climate finance); aligned with National Climate Finance Strategy 2025-2034 (ENFC); planned NDC 3.0 Investment Plan and operational plan to follow full NDC communication; ValoRE and other programmes already receiving/drawing on climate and development finance.",[auto],0.2,Waste management,"Annex 1, 3(b): Formal inclusion of Waste sector in NDC 3.0 mitigation scope using IPCC classification — sub-categories 4.A.2 (solid waste disposal), 4.C.1 (incineration/open burning), 4.D.1 (wastewater treatment) — governing national reporting and mitigation planning for waste streams.",1,0.5,"Annex 1, 3(b): ""Waste: including (sub-)categories 4.A (4.A.2.); 4.C (4.C.1.); 4.D (4.D.1.)""; IPCC 2006 inventory methods (Annex 1, 5(a)-(d)); sector consultations include Waste (Annex 1, 4(a)).",[auto],Governance/planning instrument defining sector coverage; applies to municipal solid waste including plastics in landfills and open burning. No explicit 'plastics' term in document.
NDC 3.0 Provisória de Moçambique – Período: 2026 - 2035 (Mozambique's Provisional NDC 3.0),https://unfccc.int/sites/default/files/2025-11/Mozambique%20ProvNDC_ENG.pdf,2025,"Communicate Mozambique's updated Paris Agreement climate commitment for 2026–2035, including a conditional economy-wide GHG mitigation target, sectoral mitigation coverage (including waste/landfill), large-scale adaptation priorities, and frameworks linking international climate finance to national green and circular-economy initiatives.",1,"""Target of reducing emissions by between 15% and 25% of baseline (BUR2 2020)"" (Annex 1, para. 1(d)); ""Type of target: Emissions reduction target below a BAU scenario between 15 to 25% of baseline (BUR2 2020)""; implementation period ""January 1, 2026 to December 31, 2035"" (Annex 1, para. 2(a)). Target noted as under final technical review.",0.5,"International treaty commitment (Paris Agreement NDC) and supreme national climate strategic policy — not domestic legislation or executive regulation. Classified 0.50 because the document incorporates quantifiable mitigation targets (15–25% below 2020 BAU by 2035), sectoral coverage, and planned operational/investment instruments.",1,"waste management, recycling, municipalities, industry, agriculture, fisheries, water, energy, tourism, retail, packaging",0.75,"production, consumption, recycling, disposal, environmental leakage",0.5,"NDC implementation is ""highly conditional"" on international climate finance (Section 5, Climate finance); aligned with National Climate Finance Strategy 2025-2034 (ENFC); planned NDC 3.0 Investment Plan and operational plan to follow full NDC communication; ValoRE and other programmes already receiving/drawing on climate and development finance.",[auto],0.8,Recycling,"Annex 1, 3(d) / Section on mitigation co-benefits: ValoRE (Programme for Sustainable Waste Management in Mozambique) strengthens waste infrastructure and circular value chains; implemented in three municipalities with improved systems and recyclable recovery, reducing landfill emissions.",1,0.5,"""Activities already implemented in three municipalities have improved waste management systems and established circular value chain opportunities, with measurable mitigation co-benefits through reduced landfill emissions and more efficient resource use of available resources (recyclables...)""",[auto],Primary concrete waste/circular-economy programme cited in NDC; directly relevant to plastic and recyclable waste streams though plastics not named explicitly.
NDC 3.0 Provisória de Moçambique – Período: 2026 - 2035 (Mozambique's Provisional NDC 3.0),https://unfccc.int/sites/default/files/2025-11/Mozambique%20ProvNDC_ENG.pdf,2025,"Communicate Mozambique's updated Paris Agreement climate commitment for 2026–2035, including a conditional economy-wide GHG mitigation target, sectoral mitigation coverage (including waste/landfill), large-scale adaptation priorities, and frameworks linking international climate finance to national green and circular-economy initiatives.",1,"""Target of reducing emissions by between 15% and 25% of baseline (BUR2 2020)"" (Annex 1, para. 1(d)); ""Type of target: Emissions reduction target below a BAU scenario between 15 to 25% of baseline (BUR2 2020)""; implementation period ""January 1, 2026 to December 31, 2035"" (Annex 1, para. 2(a)). Target noted as under final technical review.",0.5,"International treaty commitment (Paris Agreement NDC) and supreme national climate strategic policy — not domestic legislation or executive regulation. Classified 0.50 because the document incorporates quantifiable mitigation targets (15–25% below 2020 BAU by 2035), sectoral coverage, and planned operational/investment instruments.",1,"waste management, recycling, municipalities, industry, agriculture, fisheries, water, energy, tourism, retail, packaging",0.75,"production, consumption, recycling, disposal, environmental leakage",0.5,"NDC implementation is ""highly conditional"" on international climate finance (Section 5, Climate finance); aligned with National Climate Finance Strategy 2025-2034 (ENFC); planned NDC 3.0 Investment Plan and operational plan to follow full NDC communication; ValoRE and other programmes already receiving/drawing on climate and development finance.",[auto],0.4,Production,"Annex 1, 3(d): Promoting Employment for Women for Green Transformation initiative supports green business models in value chains including renewable energy, circular economy and blue economy.",1,0.25,"""promotes green employment opportunities for women and environmentally sustainable business models in value chains such as renewable energy, circular economy and blue economy""",[auto],Voluntary/green economy programme; circular economy reference enables plastic-relevant value-chain actions.
NDC 3.0 Provisória de Moçambique – Período: 2026 - 2035 (Mozambique's Provisional NDC 3.0),https://unfccc.int/sites/default/files/2025-11/Mozambique%20ProvNDC_ENG.pdf,2025,"Communicate Mozambique's updated Paris Agreement climate commitment for 2026–2035, including a conditional economy-wide GHG mitigation target, sectoral mitigation coverage (including waste/landfill), large-scale adaptation priorities, and frameworks linking international climate finance to national green and circular-economy initiatives.",1,"""Target of reducing emissions by between 15% and 25% of baseline (BUR2 2020)"" (Annex 1, para. 1(d)); ""Type of target: Emissions reduction target below a BAU scenario between 15 to 25% of baseline (BUR2 2020)""; implementation period ""January 1, 2026 to December 31, 2035"" (Annex 1, para. 2(a)). Target noted as under final technical review.",0.5,"International treaty commitment (Paris Agreement NDC) and supreme national climate strategic policy — not domestic legislation or executive regulation. Classified 0.50 because the document incorporates quantifiable mitigation targets (15–25% below 2020 BAU by 2035), sectoral coverage, and planned operational/investment instruments.",1,"waste management, recycling, municipalities, industry, agriculture, fisheries, water, energy, tourism, retail, packaging",0.75,"production, consumption, recycling, disposal, environmental leakage",0.5,"NDC implementation is ""highly conditional"" on international climate finance (Section 5, Climate finance); aligned with National Climate Finance Strategy 2025-2034 (ENFC); planned NDC 3.0 Investment Plan and operational plan to follow full NDC communication; ValoRE and other programmes already receiving/drawing on climate and development finance.",[auto],0.2,Waste management,"Annex 1, 4(a): DINAMC-led participatory NDC planning and sectoral consultation process, including dedicated Waste sector consultations and integration of NDC 2.0 evaluation, BUR2, NAP, ENDE and PQG into NDC 3.0.",1,0.75,"DINAMC and GIIMC lead stocktaking (Annex 1, 4(a)); sectoral consultations include ""Waste""; provincial focal points engaged; Quality Control team provides technical guidance (Section 2).",[auto],Coordination instrument for embedding waste/plastic measures in national climate planning.
NDC 3.0 Provisória de Moçambique – Período: 2026 - 2035 (Mozambique's Provisional NDC 3.0),https://unfccc.int/sites/default/files/2025-11/Mozambique%20ProvNDC_ENG.pdf,2025,"Communicate Mozambique's updated Paris Agreement climate commitment for 2026–2035, including a conditional economy-wide GHG mitigation target, sectoral mitigation coverage (including waste/landfill), large-scale adaptation priorities, and frameworks linking international climate finance to national green and circular-economy initiatives.",1,"""Target of reducing emissions by between 15% and 25% of baseline (BUR2 2020)"" (Annex 1, para. 1(d)); ""Type of target: Emissions reduction target below a BAU scenario between 15 to 25% of baseline (BUR2 2020)""; implementation period ""January 1, 2026 to December 31, 2035"" (Annex 1, para. 2(a)). Target noted as under final technical review.",0.5,"International treaty commitment (Paris Agreement NDC) and supreme national climate strategic policy — not domestic legislation or executive regulation. Classified 0.50 because the document incorporates quantifiable mitigation targets (15–25% below 2020 BAU by 2035), sectoral coverage, and planned operational/investment instruments.",1,"waste management, recycling, municipalities, industry, agriculture, fisheries, water, energy, tourism, retail, packaging",0.75,"production, consumption, recycling, disposal, environmental leakage",0.5,"NDC implementation is ""highly conditional"" on international climate finance (Section 5, Climate finance); aligned with National Climate Finance Strategy 2025-2034 (ENFC); planned NDC 3.0 Investment Plan and operational plan to follow full NDC communication; ValoRE and other programmes already receiving/drawing on climate and development finance.",[auto],0.2,Waste management,"Annex 1, 4(a): Planned NDC 3.0 operational plan, Investment Plan and capacity-building programme to be developed after full NDC communication to UNFCCC.",0,0.25,"""The development of these key documents will follow the full NDC 3.0 communication to the UNFCCC.""",[auto],Enabling/planning power not yet exercised; will operationalise finance and waste investments.
NDC 3.0 Provisória de Moçambique – Período: 2026 - 2035 (Mozambique's Provisional NDC 3.0),https://unfccc.int/sites/default/files/2025-11/Mozambique%20ProvNDC_ENG.pdf,2025,"Communicate Mozambique's updated Paris Agreement climate commitment for 2026–2035, including a conditional economy-wide GHG mitigation target, sectoral mitigation coverage (including waste/landfill), large-scale adaptation priorities, and frameworks linking international climate finance to national green and circular-economy initiatives.",1,"""Target of reducing emissions by between 15% and 25% of baseline (BUR2 2020)"" (Annex 1, para. 1(d)); ""Type of target: Emissions reduction target below a BAU scenario between 15 to 25% of baseline (BUR2 2020)""; implementation period ""January 1, 2026 to December 31, 2035"" (Annex 1, para. 2(a)). Target noted as under final technical review.",0.5,"International treaty commitment (Paris Agreement NDC) and supreme national climate strategic policy — not domestic legislation or executive regulation. Classified 0.50 because the document incorporates quantifiable mitigation targets (15–25% below 2020 BAU by 2035), sectoral coverage, and planned operational/investment instruments.",1,"waste management, recycling, municipalities, industry, agriculture, fisheries, water, energy, tourism, retail, packaging",0.75,"production, consumption, recycling, disposal, environmental leakage",0.5,"NDC implementation is ""highly conditional"" on international climate finance (Section 5, Climate finance); aligned with National Climate Finance Strategy 2025-2034 (ENFC); planned NDC 3.0 Investment Plan and operational plan to follow full NDC communication; ValoRE and other programmes already receiving/drawing on climate and development finance.",[auto],0.2,Waste management,"Annex 1, 4(a) / 5(b): Development and operationalization of Strengthened National Transparency Framework (ETF) and MRV system (including Carbon Registry and climate finance tracking) to monitor mitigation programme implementation.",0,0.5,"""the country's Measurement, Reporting, and Verification (MRV) system (currently developing)""; ""strengthening of implementation will be done through the development and operationalization of a Strengthened National Transparency Framework (ETF), based on the National Climate Change Monitoring and Evaluation System (SNMAMC)"".",[auto],Monitoring instrument under development; scored in_force=0 per enabling-power rule.
NDC 3.0 Provisória de Moçambique – Período: 2026 - 2035 (Mozambique's Provisional NDC 3.0),https://unfccc.int/sites/default/files/2025-11/Mozambique%20ProvNDC_ENG.pdf,2025,"Communicate Mozambique's updated Paris Agreement climate commitment for 2026–2035, including a conditional economy-wide GHG mitigation target, sectoral mitigation coverage (including waste/landfill), large-scale adaptation priorities, and frameworks linking international climate finance to national green and circular-economy initiatives.",1,"""Target of reducing emissions by between 15% and 25% of baseline (BUR2 2020)"" (Annex 1, para. 1(d)); ""Type of target: Emissions reduction target below a BAU scenario between 15 to 25% of baseline (BUR2 2020)""; implementation period ""January 1, 2026 to December 31, 2035"" (Annex 1, para. 2(a)). Target noted as under final technical review.",0.5,"International treaty commitment (Paris Agreement NDC) and supreme national climate strategic policy — not domestic legislation or executive regulation. Classified 0.50 because the document incorporates quantifiable mitigation targets (15–25% below 2020 BAU by 2035), sectoral coverage, and planned operational/investment instruments.",1,"waste management, recycling, municipalities, industry, agriculture, fisheries, water, energy, tourism, retail, packaging",0.75,"production, consumption, recycling, disposal, environmental leakage",0.5,"NDC implementation is ""highly conditional"" on international climate finance (Section 5, Climate finance); aligned with National Climate Finance Strategy 2025-2034 (ENFC); planned NDC 3.0 Investment Plan and operational plan to follow full NDC communication; ValoRE and other programmes already receiving/drawing on climate and development finance.",[auto],0.4,Environmental leakage,"Section 5 (Environmental protection): NDC 3.0 reinforces pollution control and sustainable environmental management, addressing national challenges in air quality and waste treatment on the path to low-carbon development.",1,0.25,"""NDC 3.0 reinforces pollution control and sustainable environmental management as a cornerstone on the path towards low-carbon development""; references Environment Law No. 20/97.",[auto],Strategic commitment rather than binding standard; explicitly cites waste treatment deficits. Scored 0.40 as information/strategic voluntary framing without mandatory provisions in this document.
NDC 3.0 Provisória de Moçambique – Período: 2026 - 2035 (Mozambique's Provisional NDC 3.0),https://unfccc.int/sites/default/files/2025-11/Mozambique%20ProvNDC_ENG.pdf,2025,"Communicate Mozambique's updated Paris Agreement climate commitment for 2026–2035, including a conditional economy-wide GHG mitigation target, sectoral mitigation coverage (including waste/landfill), large-scale adaptation priorities, and frameworks linking international climate finance to national green and circular-economy initiatives.",1,"""Target of reducing emissions by between 15% and 25% of baseline (BUR2 2020)"" (Annex 1, para. 1(d)); ""Type of target: Emissions reduction target below a BAU scenario between 15 to 25% of baseline (BUR2 2020)""; implementation period ""January 1, 2026 to December 31, 2035"" (Annex 1, para. 2(a)). Target noted as under final technical review.",0.5,"International treaty commitment (Paris Agreement NDC) and supreme national climate strategic policy — not domestic legislation or executive regulation. Classified 0.50 because the document incorporates quantifiable mitigation targets (15–25% below 2020 BAU by 2035), sectoral coverage, and planned operational/investment instruments.",1,"waste management, recycling, municipalities, industry, agriculture, fisheries, water, energy, tourism, retail, packaging",0.75,"production, consumption, recycling, disposal, environmental leakage",0.5,"NDC implementation is ""highly conditional"" on international climate finance (Section 5, Climate finance); aligned with National Climate Finance Strategy 2025-2034 (ENFC); planned NDC 3.0 Investment Plan and operational plan to follow full NDC communication; ValoRE and other programmes already receiving/drawing on climate and development finance.",[auto],0.4,Consumption,"Section 5 (Communication and awareness-raising): Expand use of community radios, school curricula, civil society networks and social media to mainstream climate action and mobilize engagement across sectors.",1,0.25,"""Communication and awareness-raising are essential to mainstream the implementation of the NDC""; ""Mozambique already makes use of tools such as community radios, school curricula, civil society networks and social media"".",[auto],Awareness instrument applicable to consumer waste/plastic pollution behaviour change.
NDC 3.0 Provisória de Moçambique – Período: 2026 - 2035 (Mozambique's Provisional NDC 3.0),https://unfccc.int/sites/default/files/2025-11/Mozambique%20ProvNDC_ENG.pdf,2025,"Communicate Mozambique's updated Paris Agreement climate commitment for 2026–2035, including a conditional economy-wide GHG mitigation target, sectoral mitigation coverage (including waste/landfill), large-scale adaptation priorities, and frameworks linking international climate finance to national green and circular-economy initiatives.",1,"""Target of reducing emissions by between 15% and 25% of baseline (BUR2 2020)"" (Annex 1, para. 1(d)); ""Type of target: Emissions reduction target below a BAU scenario between 15 to 25% of baseline (BUR2 2020)""; implementation period ""January 1, 2026 to December 31, 2035"" (Annex 1, para. 2(a)). Target noted as under final technical review.",0.5,"International treaty commitment (Paris Agreement NDC) and supreme national climate strategic policy — not domestic legislation or executive regulation. Classified 0.50 because the document incorporates quantifiable mitigation targets (15–25% below 2020 BAU by 2035), sectoral coverage, and planned operational/investment instruments.",1,"waste management, recycling, municipalities, industry, agriculture, fisheries, water, energy, tourism, retail, packaging",0.75,"production, consumption, recycling, disposal, environmental leakage",0.5,"NDC implementation is ""highly conditional"" on international climate finance (Section 5, Climate finance); aligned with National Climate Finance Strategy 2025-2034 (ENFC); planned NDC 3.0 Investment Plan and operational plan to follow full NDC communication; ValoRE and other programmes already receiving/drawing on climate and development finance.",[auto],0.6,Waste management,Section 5 (Climate finance) / Section 2: NDC 3.0 conditioned on international climate finance aligned with National Climate Finance Strategy 2025-2034 (ENFC); prioritizes pledged/committed/disbursed funding.,1,0.5,"""Access to climate finance and investment is of utmost importance""; feasibility criteria include ""Availability of international climate finance against definitions and standards outlined in the National Climate Finance Strategy 2025-2034 (ENFC)"" and ""Priority given to actions for which funding is pledged, committed or disbursed"".",[auto],Economic/finance instrument enabling waste and circular-economy project funding including ValoRE.
